Frases;Sentimento
Eles resolveram suas desavenças e se tornaram amigos novamente.;Raiva
A desavença entre os sócios quase levou ao fechamento da empresa.;Raiva
A mediação foi necessária para resolver a desavença entre as partes.;Raiva
A desavença entre os irmãos já durava anos.;Raiva
A desavença política dividiu o país em duas facções.;Raiva
A desavença familiar causou um clima tenso durante o jantar.;Raiva
A desavença entre os líderes políticos paralisou o governo.;Raiva
A desavença entre os times de futebol resultou em uma briga generalizada.;Raiva
A desavença entre os vizinhos foi resolvida com a intervenção da polícia.;Raiva
A desavença entre os colegas de equipe afetou o desempenho no campeonato.;Raiva
A terapia ajudou o casal a superar suas desavenças e reconstruir o relacionamento.;Raiva
Ele respondeu com desdém quando questionado sobre o assunto.;Raiva
Seu desdém pelos mais pobres revelava uma atitude preconceituosa.;Raiva
O chefe tratava seus subordinados com desdém e arrogância.;Raiva
Ela olhou para ele com desdém, como se não valesse a pena responder.;Raiva
O desdém do professor em relação aos alunos era evidente.;Raiva
O candidato respondeu com desdém às críticas da imprensa.;Raiva
A atitude de desdém do cliente deixou o atendente desconfortável.;Raiva
Sua resposta foi repleta de desdém e falta de respeito.;Raiva
O político mostrou desdém pelas preocupações dos eleitores.;Raiva
Ela recebeu a notícia com desdém, como se não se importasse.;Raiva
O desdém dele pelas tradições culturais era notável.;Raiva
O artista respondeu às críticas com um sorriso de desdém.;Raiva
O desdém da diretoria em relação aos funcionários causou desmotivação.;Raiva
Ele expressou seu desdém pelas opiniões alheias de maneira rude.;Raiva
O gesto de desdém dela mostrava sua indiferença em relação ao assunto.;Raiva
O desentendimento entre os amigos foi resolvido após uma conversa sincera.;Raiva
O casal estava passando por um período de desentendimento no relacionamento.;Raiva
O desentendimento com o chefe afetou o desempenho do funcionário no trabalho.;Raiva
O desentendimento entre os vizinhos foi causado por um problema de barulho.;Raiva
O desentendimento político gerou um clima de tensão na sociedade.;Raiva
O desentendimento entre os colegas de equipe prejudicou a harmonia do grupo.;Raiva
O desentendimento entre os irmãos era constante durante a infância.;Raiva
A mediação foi necessária para resolver o desentendimento entre as partes envolvidas.;Raiva
O desentendimento entre os sócios levou ao fim do negócio.;Raiva
O desentendimento familiar foi causado por divergências de opinião.;Raiva
O desentendimento no tribunal prolongou o processo judicial.;Raiva
O desentendimento entre os estudantes levou a uma briga na escola.;Raiva
O desentendimento entre os vizinhos começou por causa de uma vaga de estacionamento.;Raiva
O desentendimento com o cliente foi resolvido com um pedido de desculpas.;Raiva
O desentendimento entre as nações resultou em conflitos armados.;Raiva
A queda causou um desequilíbrio temporário no corpo dela.;Raiva
O desequilíbrio financeiro da empresa levou a cortes de pessoal.;Raiva
A mudança súbita de temperatura pode causar um desequilíbrio no organismo.;Raiva
O desequilíbrio emocional afetou sua capacidade de tomar decisões.;Raiva
O desequilíbrio no mercado de ações gerou incertezas entre os investidores.;Raiva
A dieta desequilibrada pode causar diversos problemas de saúde.;Raiva
A desigualdade de renda resulta em um desequilíbrio social na sociedade.;Raiva
O desequilíbrio entre oferta e demanda causou uma crise no setor.;Raiva
O desequilíbrio hormonal pode causar sintomas físicos e emocionais.;Raiva
O acidente causou um desequilíbrio estrutural no prédio.;Raiva
O desequilíbrio nas relações comerciais levou a tensões internacionais.;Raiva
A pressão constante no trabalho pode levar ao desequilíbrio mental.;Raiva
O desequilíbrio nas finanças pessoais causou estresse no casal.;Raiva
A falta de sono pode levar a um desequilíbrio no funcionamento do corpo.;Raiva
A mudança de liderança resultou em um desequilíbrio nas políticas da empresa.;Raiva
O clima desfavorável atrapalhou o evento ao ar livre.;Raiva
A situação econômica está desfavorável para a abertura de novos negócios.;Raiva
As condições de trabalho eram extremamente desfavoráveis para os funcionários.;Raiva
A falta de experiência tornou o momento desfavorável para o empreendimento.;Raiva
O relatório desfavorável levou à rejeição do projeto.;Raiva
As circunstâncias desfavoráveis tornaram difícil a conclusão do trabalho a tempo.;Raiva
A notícia desfavorável impactou o humor dos investidores.;Raiva
A política desfavorável do governo causou insatisfação na população.;Raiva
O resultado da pesquisa foi desfavorável ao candidato.;Raiva
A concorrência intensa tornou o mercado desfavorável para pequenas empresas.;Raiva
O clima desfavorável comprometeu a qualidade da colheita.;Raiva
As mudanças regulatórias criaram um ambiente desfavorável para o setor.;Raiva
A decisão do tribunal foi desfavorável ao réu.;Raiva
A conjuntura desfavorável resultou em demissões na empresa.;Raiva
A previsão do tempo indica um cenário desfavorável para os próximos dias.;Raiva
O acidente de carro pode desfigurar uma pessoa para o resto da vida.;Raiva
A doença rara pode desfigurar o corpo do paciente.;Raiva
A agressão brutal pode desfigurar permanentemente a vítima.;Raiva
A cirurgia plástica foi necessária para corrigir a desfiguração no rosto.;Raiva
O fogo pode desfigurar completamente uma edificação.;Raiva
A lesão grave pode desfigurar a aparência física do atleta.;Raiva
O crime bárbaro deixou marcas que desfiguraram a vítima.;Raiva
A guerra pode desfigurar cidades inteiras e deixar cicatrizes profundas.;Raiva
O artista usou cores vivas para desfigurar a paisagem urbana.;Raiva
A intenção do ataque era desfigurar o monumento histórico.;Raiva
A ação do ácido corrosivo pode desfigurar a superfície do metal.;Raiva
A reação alérgica pode desfigurar a pele do paciente.;Raiva
O vandalismo pode desfigurar obras de arte e prédios públicos.;Raiva
A agressão desfigurou o rosto do agredido.;Raiva
O acidente de trabalho pode desfigurar partes do corpo dos trabalhadores.;Raiva
Sua desistência repentina deixou a equipe desapontada.;Raiva
A desistência do candidato enfraqueceu sua campanha política.;Raiva
Apesar dos obstáculos, ela não considerou a desistência como uma opção.;Raiva
A desistência dele do projeto causou atrasos no cronograma.;Raiva
A desistência do time adversário garantiu nossa vitória no campeonato.;Raiva
Ela enfrentou muitos desafios, mas sua determinação impediu a desistência.;Raiva
A pressão dos pais foi o motivo da desistência do curso universitário.;Raiva
A desistência dela deixou uma vaga aberta na competição.;Raiva
A desistência dele da carreira artística surpreendeu a todos.;Raiva
A desistência não é um sinal de fraqueza, mas de reconhecimento dos limites.;Raiva
A falta de apoio levou à desistência do projeto.;Raiva
Ela superou a vontade de desistência e conquistou seus objetivos.;Raiva
A desistência prematura pode levar a arrependimentos no futuro.;Raiva
A desistência foi uma decisão difícil, mas necessária para seguir outro caminho.;Raiva
O apoio da família foi essencial para evitar a desistência dos estudos.;Raiva
O incêndio ameaçou destruir toda a floresta.;Raiva
A guerra pode destruir comunidades inteiras.;Raiva
O terremoto destruiu prédios e infraestruturas da cidade.;Raiva
O vírus pode destruir arquivos importantes no computador.;Raiva
Suas palavras podem construir ou destruir a confiança dos outros.;Raiva
As ações irresponsáveis podem destruir a reputação de alguém.;Raiva
O furacão destruiu casas e deixou muitas pessoas desabrigadas.;Raiva
A corrupção pode destruir a integridade de uma instituição.;Raiva
O ataque inimigo quase destruiu nossa base militar.;Raiva
A negligência pode destruir relações importantes.;Raiva
O desastre natural destruiu plantações e prejudicou a economia local.;Raiva
As drogas podem destruir vidas e famílias inteiras.;Raiva
A falta de cuidado pode destruir objetos de valor sentimental.;Raiva
A inveja pode destruir amizades duradouras.;Raiva
O discurso inflamado pode destruir a paz e a harmonia entre os povos.;Raiva
Não há motivo para detrair a reputação de alguém sem provas.;Raiva
Ela estava disposta a detrair o caráter dele com comentários maldosos.;Raiva
Detrair a imagem dos outros é uma atitude tóxica.;Raiva
A crítica construtiva não deve detrair o esforço do indivíduo.;Raiva
Ele preferiu elogiar em vez de detrair a colega de trabalho.;Raiva
Evite detrair os outros para se sentir melhor consigo mesmo.;Raiva
A atitude de detrair só gera conflitos e hostilidade.;Raiva
O objetivo é valorizar as qualidades, não detrair os defeitos.;Raiva
Detrair alguém por suas escolhas pessoais é injusto.;Raiva
As pessoas costumam detrair os outros por suas aparências.;Raiva
Detrair o trabalho de alguém é uma atitude antiprofissional.;Raiva
O professor não gostava de detrair os alunos em sala de aula.;Raiva
Os comentários maldosos tinham o objetivo de detrair sua autoestima.;Raiva
A equipe decidiu não detrair o trabalho árduo dos concorrentes.;Raiva
Ela optou por não detrair as ações dos colegas de equipe.;Raiva
Espalhar rumores falsos é uma forma de difamar alguém.;Raiva
Ele processou o jornal por difamar sua imagem.;Raiva
Difamar alguém nas redes sociais é um ato de irresponsabilidade.;Raiva
A empresa foi acusada de difamar seus concorrentes.;Raiva
Difamar colegas de trabalho é uma atitude antiética.;Raiva
A calúnia é uma maneira de difamar o caráter de alguém.;Raiva
Difamar a reputação de alguém pode levar a consequências legais.;Raiva
Ela negou as acusações de difamar o nome da empresa.;Raiva
Difamar um político pode ter sérias repercussões.;Raiva
Difamar alguém com informações falsas é um ato condenável.;Raiva
A campanha de difamação visava desacreditar o candidato.;Raiva
Os boatos na escola foram usados para difamar a aluna.;Raiva
O objetivo era difamar a imagem pública do artista.;Raiva
Difamar alguém pode causar danos irreparáveis à sua vida pessoal e profissional.;Raiva
Ele enfrentou um processo por difamar a honra de um colega.;Raiva
É natural discordar em alguns pontos durante uma discussão.;Raiva
As pessoas têm o direito de discordar e expressar suas opiniões.;Raiva
Discordar não significa que você não respeita a opinião do outro.;Raiva
O grupo não hesitou em discordar da decisão do líder.;Raiva
É saudável discordar de vez em quando para promover o debate.;Raiva
Os colegas de trabalho costumam discordar sobre a melhor abordagem.;Raiva
Ele preferiu manter silêncio a discordar do chefe.;Raiva
Discordar educadamente é uma habilidade importante nas relações interpessoais.;Raiva
As diferentes culturas podem discordar em relação a questões sociais.;Raiva
É importante aprender a discordar sem criar conflitos desnecessários.;Raiva
Os especialistas tendem a discordar sobre o assunto complexo.;Raiva
O casal aprendeu a respeitar as diferenças e discordar de forma construtiva.;Raiva
O professor incentivou os alunos a discordar de suas perspectivas.;Raiva
As pessoas podem discordar sobre política sem perder a amizade.;Raiva
Discordar dos pais é parte do processo de se tornar independente.;Raiva
A dissimulação dele foi descoberta depois de muitos anos.;Raiva
"Sua dissimulação não enganou ninguém; todos sabiam o que ele estava tramando.";Raiva
A dissimulação das intenções políticas causou desconfiança na população.;Raiva
Ela usou a dissimulação para esconder suas verdadeiras emoções.;Raiva
A dissimulação do suspeito tornou difícil para a polícia desvendar o crime.;Raiva
A dissimulação é uma tática comum entre políticos corruptos.;Raiva
A dissimulação de suas habilidades era parte de sua estratégia.;Raiva
A dissimulação das informações prejudicou a investigação.;Raiva
A dissimulação era sua arma para obter vantagens pessoais.;Raiva
A dissimulação é uma característica comum em jogos políticos.;Raiva
A dissimulação de sua identidade permitiu que ele passasse despercebido.;Raiva
A dissimulação fez com que ele parecesse inocente aos olhos dos outros.;Raiva
A dissimulação foi utilizada para encobrir um grande golpe financeiro.;Raiva
A dissimulação das verdadeiras intenções do líder político desiludiu muitos eleitores.;Raiva
A dissimulação pode ser prejudicial para o desenvolvimento de relações honestas.;Raiva
Seus argumentos convincentes conseguiram dissuadir a equipe de prosseguir com o plano arriscado.;Raiva
O pai tentou dissuadir o filho de seguir uma carreira perigosa.;Raiva
A campanha de conscientização visa dissuadir os jovens do uso de drogas.;Raiva
A presença de seguranças visa dissuadir os infratores de cometer atos ilícitos.;Raiva
Ela não conseguiu dissuadir o chefe de implementar a nova política.;Raiva
Os especialistas tentam dissuadir as pessoas de acreditar em teorias da conspiração.;Raiva
A falta de recursos financeiros pode dissuadir algumas empresas de investir em inovação.;Raiva
A ameaça de punição busca dissuadir os criminosos de cometer delitos.;Raiva
O líder tentou dissuadir o grupo de fazer uma greve.;Raiva
A experiência negativa pode dissuadir alguém de tentar novamente.;Raiva
As autoridades trabalham para dissuadir a imigração ilegal.;Raiva
Ele usou estatísticas alarmantes para dissuadir os outros de prosseguirem com o projeto.;Raiva
O guia turístico tentou dissuadir os visitantes de irem àquela área perigosa.;Raiva
A falta de incentivos pode dissuadir os funcionários de serem mais produtivos.;Raiva
A possibilidade de fracasso pode dissuadir alguns empreendedores de começarem um negócio.;Raiva
A mídia pode ser responsável por distorcer a verdade para obter mais audiência.;Raiva
A distorção da realidade levou a um mal-entendido entre os envolvidos.;Raiva
A distorção das cores nas fotografias resultou em um efeito artístico interessante.;Raiva
A distorção dos fatos levou à condenação injusta de um inocente.;Raiva
A propaganda política muitas vezes usa a distorção para prejudicar os oponentes.;Raiva
A distorção da imagem no espelho causou risadas entre as crianças.;Raiva
O uso excessivo de filtros pode causar distorção nas fotos.;Raiva
A distorção do som durante o show foi corrigida pelo técnico de som.;Raiva
A distorção da história pode levar a uma compreensão errônea dos eventos passados.;Raiva
A distorção da realidade nas redes sociais pode levar ao cyberbullying.;Raiva
O debate foi marcado por distorções dos argumentos do oponente.;Raiva
O pintor usou a técnica da distorção para criar uma obra de arte única.;Raiva
A distorção das palavras pode criar mal-entendidos entre as pessoas.;Raiva
A distorção dos dados pode levar a conclusões equivocadas.;Raiva
A lente grande angular pode causar distorção nas bordas das fotos.;Raiva
A falta de recursos financeiros foi um empecilho para o crescimento da empresa.;Raiva
O mau tempo se tornou um empecilho para a realização do evento ao ar livre.;Raiva
Ela não viu a barreira no caminho e acabou esbarrando nela como um empecilho.;Raiva
A burocracia excessiva pode ser um empecilho para a abertura de novos negócios.;Raiva
O atraso do fornecedor se tornou um empecilho para o andamento do projeto.;Raiva
A falta de apoio da família foi um empecilho para a realização de seus sonhos.;Raiva
O trânsito congestionado se tornou um grande empecilho para os deslocamentos diários.;Raiva
O desacordo entre os membros da equipe foi um empecilho para o progresso do projeto.;Raiva
A indisponibilidade de transporte público se tornou um empecilho para o acesso à educação.;Raiva
A falta de comunicação adequada se tornou um empecilho para a resolução dos problemas.;Raiva
A resistência à mudança pode ser um empecilho para a inovação nas empresas.;Raiva
A escassez de recursos naturais é um grande empecilho para o desenvolvimento sustentável.;Raiva
A dificuldade em obter financiamento se tornou um empecilho para a expansão do negócio.;Raiva
A falta de apoio da comunidade se tornou um empecilho para a realização do evento.;Raiva
A indisponibilidade de profissionais qualificados se tornou um empecilho para o crescimento do setor.;Raiva
O funcionário foi demitido por empregar indevidamente os recursos da empresa.;Raiva
Empregar indevidamente o dinheiro público é crime.;Raiva
A investigação revelou que ele costumava empregar indevidamente a posição de poder.;Raiva
Ela foi acusada de empregar indevidamente o nome de outra pessoa para obter vantagens.;Raiva
A empresa estava sendo investigada por empregar indevidamente trabalhadores sem registro.;Raiva
Empregar indevidamente equipamentos de segurança pode resultar em acidentes graves.;Raiva
O uso do cargo para benefício pessoal é uma forma de empregar indevidamente o poder.;Raiva
O advogado alertou sobre as consequências de empregar indevidamente provas no tribunal.;Raiva
A empresa foi multada por empregar indevidamente materiais tóxicos.;Raiva
A acusação se baseia na suspeita de empregar indevidamente informações confidenciais.;Raiva
O atleta foi banido do esporte por empregar indevidamente substâncias proibidas.;Raiva
Empregar indevidamente o nome de uma instituição pode levar a ações legais.;Raiva
A empresa foi criticada por empregar indevidamente práticas de trabalho infantil.;Raiva
A denúncia alega que ele costumava empregar indevidamente o poder para obter favores pessoais.;Raiva
A auditoria revelou várias irregularidades, incluindo o emprego indevido de verbas destinadas a outros fins.;Raiva
A polícia conseguiu encurralar o suspeito em um beco sem saída.;Raiva
A falta de recursos financeiros pode encurralar pequenos empreendedores.;Raiva
Ele conseguiu encurralar o animal selvagem em uma armadilha.;Raiva
O movimento de protesto conseguiu encurralar os políticos para tomar uma decisão.;Raiva
O crime organizado foi encurralado pelas autoridades em uma operação especial.;Raiva
Ela se sentiu encurralada pelas cobranças e expectativas da família.;Raiva
O avanço das tropas aliadas encurralou o exército inimigo.;Raiva
O presidente foi encurralado pelos repórteres com perguntas difíceis.;Raiva
A falta de saída encurralou a equipe durante a negociação.;Raiva
As circunstâncias adversas podem encurralar as pessoas em situações difíceis.;Raiva
A mudança na legislação encurralou os devedores que tentavam evitar o pagamento.;Raiva
Ele tentou fugir, mas foi encurralado pelos seguranças do evento.;Raiva
O grupo de resgate conseguiu encurralar o animal ferido para prestar atendimento.;Raiva
A decisão do tribunal encurralou o réu, que não tinha mais opções legais.;Raiva
A mudança nas regras do jogo encurralou os competidores despreparados.;Raiva
Ele tentou enganar seus colegas de trabalho, mas acabou sendo descoberto.;Raiva
O golpista conseguiu enganar várias pessoas com sua história falsa.;Raiva
Ela se sentiu humilhada ao descobrir que ele tentou enganá-la.;Raiva
O produto prometia resultados milagrosos, mas só servia para enganar os consumidores.;Raiva
A empresa foi multada por enganar os clientes com publicidade enganosa.;Raiva
Ele usou suas habilidades de persuasão para enganar o público.;Raiva
Os golpistas foram presos por enganar idosos com esquemas fraudulentos.;Raiva
Aparentemente sincero, ele conseguia enganar a todos com suas mentiras.;Raiva
Ela prometeu ajudar, mas acabou enganando seus amigos.;Raiva
O site falso foi criado para enganar os usuários e roubar suas informações pessoais.;Raiva
As testemunhas foram acusadas de enganar o tribunal com depoimentos falsos.;Raiva
O estelionatário tinha o talento de enganar as vítimas e ganhar sua confiança.;Raiva
As aparências podem enganar, e nem tudo é o que parece.;Raiva
Ele sempre tenta enganar os outros para obter vantagens pessoais.;Raiva
A empresa de tecnologia foi criticada por enganar os investidores com relatórios financeiros falsos.;Raiva
A exploração desenfreada dos recursos naturais tem consequências devastadoras para o meio ambiente.;Raiva
O governo implementou leis para combater a exploração do trabalho infantil.;Raiva
A exploração dos trabalhadores era comum naquela fábrica.;Raiva
A exposição revelou as condições de exploração dos trabalhadores em algumas indústrias.;Raiva
O relatório denunciou a exploração ilegal de terras protegidas.;Raiva
A exploração desumana dos animais em alguns circos levantou preocupações sobre o bem-estar animal.;Raiva
A exploração de crianças em situações de tráfico humano é uma realidade cruel.;Raiva
O documentário expôs a exploração de recursos naturais em países em desenvolvimento.;Raiva
O trabalho da organização é combater a exploração sexual de menores.;Raiva
A exploração de mão de obra barata é um problema sério em várias indústrias.;Raiva
A exploração dos recursos hídricos pode levar à escassez de água em algumas regiões.;Raiva
O aumento do turismo causou a exploração excessiva de alguns destinos naturais.;Raiva
O sindicato lutou pelos direitos dos trabalhadores contra a exploração abusiva.;Raiva
A exploração de minerais preciosos causou conflitos em algumas regiões.;Raiva
As ONGs se mobilizam para combater a exploração infantil em áreas de risco.;Raiva
Ele fez pouco caso das preocupações de seus colegas.;Raiva
A chefe fez pouco caso das sugestões da equipe.;Raiva
O policial fez pouco caso da denúncia, o que resultou em consequências graves.;Raiva
Ela fez pouco caso dos sintomas e acabou adoecendo gravemente.;Raiva
Os pais fizeram pouco caso das queixas do filho e só depois descobriram que ele estava doente.;Raiva
O professor fez pouco caso do pedido de ajuda do aluno.;Raiva
Fazer pouco caso das regras pode levar a punições.;Raiva
O político fez pouco caso das demandas dos eleitores e perdeu o apoio popular.;Raiva
Fazer pouco caso das advertências pode ter consequências graves.;Raiva
A empresa fez pouco caso das críticas dos clientes e viu sua reputação ser prejudicada.;Raiva
Ele fez pouco caso das normas de segurança e acabou sofrendo um acidente.;Raiva
Fazer pouco caso do meio ambiente é negligenciar o futuro do planeta.;Raiva
Ela fez pouco caso do conselho dos mais experientes e cometeu erros evitáveis.;Raiva
Fazer pouco caso das tradições pode gerar conflitos culturais.;Raiva
O jogador fez pouco caso da preparação física e acabou se lesionando.;Raiva
As autoridades costumam fazer vista grossa para alguns crimes menores.;Raiva
O chefe fazia vista grossa para o comportamento inadequado de um funcionário.;Raiva
Fazer vista grossa para a corrupção só perpetua o problema.;Raiva
Os vizinhos preferem fazer vista grossa para os barulhos do apartamento ao lado.;Raiva
Fazer vista grossa para o desperdício de recursos é um erro.;Raiva
O professor fazia vista grossa para as bagunças dos alunos durante a aula.;Raiva
A empresa não pode fazer vista grossa para a falta de ética de seus funcionários.;Raiva
Fazer vista grossa para os problemas não os resolverá.;Raiva
Os pais não podem fazer vista grossa para o mau comportamento dos filhos.;Raiva
O governo não pode fazer vista grossa para as injustiças sociais.;Raiva
Fazer vista grossa para a degradação do meio ambiente é irresponsável.;Raiva
Os responsáveis pela segurança não podem fazer vista grossa para as falhas no sistema.;Raiva
A empresa não pode fazer vista grossa para os desvios de conduta de seus executivos.;Raiva
O síndico não pode fazer vista grossa para as infrações das regras do condomínio.;Raiva
A imprensa não pode fazer vista grossa para os abusos de poder.;Raiva
A fixação errônea em atingir a perfeição pode levar à exaustão mental.;Raiva
A fixação errônea em agradar a todos pode levar à falta de autenticidade.;Raiva
A fixação errônea em ser o melhor pode criar um ambiente competitivo e tóxico.;Raiva
Sua fixação errônea em ser aceito pelos outros o impedia de ser ele mesmo.;Raiva
A fixação errônea em encontrar a pessoa perfeita pode levar a relacionamentos superficiais.;Raiva
A fixação errônea em ser bem-sucedido pode criar ansiedade e estresse.;Raiva
A fixação errônea em ter coisas materiais pode levar a uma vida vazia de significado.;Raiva
A fixação errônea em ser sempre o melhor pode levar à exaustão física e mental.;Raiva
Sua fixação errônea em ser perfeito o tornava muito crítico consigo mesmo.;Raiva
A fixação errônea em controlar tudo pode levar a problemas de relacionamento.;Raiva
A fixação errônea em alcançar metas impossíveis pode levar à frustração constante.;Raiva
A fixação errônea em seguir as expectativas dos outros pode causar infelicidade pessoal.;Raiva
A fixação errônea em ser sempre independente pode criar uma resistência em pedir ajuda.;Raiva
A fixação errônea em ser sempre produtivo pode levar à exaustão e ao esgotamento.;Raiva
A fixação errônea em estar sempre ocupado pode levar à negligência de aspectos importantes da vida.;Raiva
Ele ficou furioso com a notícia do aumento de impostos.;Raiva
O chefe ficou furioso com o atraso na entrega do projeto.;Raiva
Ela estava furiosa com a injustiça da situação.;Raiva
O motorista ficou furioso com o trânsito congestionado.;Raiva
O cliente ficou furioso com o péssimo atendimento.;Raiva
O professor ficou furioso com a falta de respeito dos alunos.;Raiva
O time ficou furioso com a derrota no último minuto do jogo.;Raiva
O pai ficou furioso com a desobediência do filho.;Raiva
Ela ficou furiosa ao descobrir que foi enganada.;Raiva
O político ficou furioso com as acusações de corrupção.;Raiva
O paciente ficou furioso com o diagnóstico do médico.;Raiva
O chefe ficou furioso com os erros constantes da equipe.;Raiva
A mãe ficou furiosa com a bagunça deixada pelos filhos.;Raiva
O jogador ficou furioso com a expulsão injusta durante a partida.;Raiva
O cliente ficou furioso ao receber um produto danificado.;Raiva
A falta de matéria-prima é um gargalo para a produção.;Raiva
A burocracia excessiva é um gargalo para o crescimento do negócio.;Raiva
A infraestrutura precária é um gargalo para o desenvolvimento da região.;Raiva
A lentidão na aprovação dos projetos é um gargalo para a construção civil.;Raiva
A escassez de mão de obra qualificada é um gargalo para a indústria.;Raiva
A falta de investimento em tecnologia é um gargalo para a competitividade das empresas.;Raiva
A falta de recursos financeiros é um gargalo para a realização de projetos sociais.;Raiva
A ineficiência dos processos é um gargalo para a produtividade da equipe.;Raiva
O transporte precário é um gargalo para o escoamento da produção agrícola.;Raiva
A falta de acesso à educação de qualidade é um gargalo para o desenvolvimento do país.;Raiva
A alta carga tributária é um gargalo para o empreendedorismo.;Raiva
A falta de planejamento é um gargalo para o sucesso dos projetos.;Raiva
A corrupção é um gargalo para o desenvolvimento econômico do país.;Raiva
A falta de políticas públicas eficientes é um gargalo para a melhoria da qualidade de vida da população.;Raiva
A falta de incentivos para a pesquisa e inovação é um gargalo para o avanço tecnológico do país.;Raiva
Ele foi rude e grosseiro com os colegas de trabalho.;Raiva
O atendimento no restaurante foi tão grosseiro que decidimos ir embora.;Raiva
Falar de forma grosseira não é uma maneira adequada de se comunicar.;Raiva
A resposta grosseira do cliente deixou o vendedor desconcertado.;Raiva
O comportamento grosseiro dele afastou as pessoas ao seu redor.;Raiva
Ela sempre foi conhecida por ser uma pessoa grosseira e pouco amigável.;Raiva
O motorista foi grosseiro com os passageiros durante a viagem.;Raiva
O chefe repreendeu o funcionário pela atitude grosseira com os clientes.;Raiva
A maneira grosseira como ele se dirigiu aos idosos foi inaceitável.;Raiva
A colega de trabalho fez um comentário grosseiro sobre a aparência dele.;Raiva
O tom grosseiro de sua voz denotava irritação.;Raiva
O cliente reclamou do atendimento grosseiro na loja.;Raiva
Ele se desculpou por ter sido tão grosseiro durante a discussão.;Raiva
O comportamento grosseiro dele causou constrangimento em público.;Raiva
A equipe não aceita comportamento grosseiro no ambiente de trabalho.;Raiva
A caligrafia dele era tão ruim que o bilhete ficou ilegível.;Raiva
O rascunho estava ilegível e precisou ser reescrito.;Raiva
O texto impresso estava borrado e ilegível.;Raiva
O relatório estava mal escrito e quase ilegível.;Raiva
O documento foi danificado e ficou parcialmente ilegível.;Raiva
A tinta do carimbo estava seca, tornando a data ilegível.;Raiva
O conteúdo do envelope estava ilegível devido à água da chuva.;Raiva
A nota fiscal estava ilegível, dificultando a identificação dos itens.;Raiva
O texto digitalizado estava tão desfocado que ficou ilegível.;Raiva
A letra dela era tão confusa que o recado ficou completamente ilegível.;Raiva
A assinatura estava ilegível, causando problemas na validação do documento.;Raiva
O papel estava amassado, tornando a escrita ilegível.;Raiva
A impressora estava com problemas e imprimiu o documento de forma ilegível.;Raiva
A etiqueta estava rasgada e o código de barras ficou ilegível.;Raiva
A tinta da caneta falhou, deixando a assinatura ilegível.;Raiva
Fumar pode implicar graves problemas de saúde.;Raiva
A decisão de comprar uma casa implica um compromisso financeiro de longo prazo.;Raiva
Participar do projeto implica cumprir prazos rigorosos.;Raiva
A mudança de emprego implicará uma adaptação a novas responsabilidades.;Raiva
O aumento de impostos implica um maior ônus para os contribuintes.;Raiva
Discutir esse assunto pode implicar em desentendimentos familiares.;Raiva
As ações do presidente podem implicar riscos para a economia.;Raiva
Aceitar o convite implicará em viajar durante o feriado.;Raiva
A delação pode implicar pessoas importantes no escândalo.;Raiva
A decisão de se candidatar a um cargo político implica em abrir mão da privacidade.;Raiva
A mudança de estratégia pode implicar em resultados positivos para a empresa.;Raiva
Comprar um carro implica em gastos com manutenção e seguro.;Raiva
A polêmica pode implicar na perda de apoio público ao político.;Raiva
O vazamento das informações pode implicar em sérias consequências legais.;Raiva
A decisão de se mudar para outra cidade implica em deixar para trás amigos e familiares.;Raiva
Ele sempre arranja uma desculpa para importunar os colegas de trabalho.;Raiva
O vendedor estava importunando os clientes com ofertas insistentes.;Raiva
A vizinha insiste em importunar com fofocas e comentários maldosos.;Raiva
O comportamento do fã passou a importunar a privacidade do artista.;Raiva
Ele não sabe a hora de parar e continua importunando com pedidos desnecessários.;Raiva
A presença constante dele começa a importunar a equipe.;Raiva
A propaganda repetitiva pode importunar os telespectadores.;Raiva
O assédio na internet pode importunar a vida de muitas pessoas.;Raiva
O cachorro do vizinho importuna os moradores com latidos durante a noite.;Raiva
A insistência dele em querer ajudar começou a importunar os outros.;Raiva
O rapaz não percebe que sua atitude pode importunar as mulheres.;Raiva
A falta de privacidade começa a importunar os moradores do prédio.;Raiva
A insistência da mãe em se intrometer na vida do filho começa a importuná-lo.;Raiva
O colega de trabalho não percebe que sua presença começa a importunar os demais.;Raiva
O vendedor foi alertado para não importunar os clientes com abordagens agressivas.;Raiva
O imposto de renda deve ser declarado anualmente.;Raiva
O aumento do imposto sobre os combustíveis afetou o preço dos produtos.;Raiva
A empresa recolheu o imposto sobre a venda dos produtos.;Raiva
O governo anunciou a redução do imposto sobre os alimentos básicos.;Raiva
O cidadão deve pagar o imposto de propriedade até o prazo estabelecido.;Raiva
A sonegação de impostos é considerada um crime fiscal.;Raiva
A alíquota do imposto de importação foi aumentada para proteger a indústria nacional.;Raiva
O valor do imposto sobre serviços deve ser repassado ao município.;Raiva
O contador cuida das questões relacionadas ao pagamento de impostos da empresa.;Raiva
A discussão sobre a reforma do sistema de impostos continua no Congresso.;Raiva
O governo arrecadou bilhões de reais em impostos no último trimestre.;Raiva
O pagamento do imposto é obrigatório para todas as empresas registradas.;Raiva
A auditoria identificou irregularidades no recolhimento do imposto.;Raiva
A tabela de imposto de renda foi atualizada para refletir a inflação.;Raiva
A sonegação de impostos é uma prática ilegal e pode resultar em multas e penalidades.;Raiva
O comportamento dele durante a reunião foi inaceitável.;Raiva
O nível de poluição na cidade é inaceitável e precisa ser reduzido.;Raiva
